note_number,chapter,subject,status,source,image_url,local_path,width,height
71,Acte III,Five Spot Café,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Narrow-bordered_five-spot_burnet_%28Zygaena_lonicerae%29_U%C4%8Dka.jpg/1280px-Narrow-bordered_five-spot_burnet_%28Zygaena_lonicerae%29_U%C4%8Dka.jpg,iconographie/acte_03_note_002_five-spot-cafe.jpg,1280,1280
72,Acte III,Glenn Miller,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Glenn_Miller_Billboard.jpg/1280px-Glenn_Miller_Billboard.jpg,iconographie/acte_03_note_003_glenn-miller.jpg,1280,920
73,Acte III,Benny Goodman,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/78/Benny_Goodman_Billboard.jpg,iconographie/acte_03_note_004_benny-goodman.jpg,728,828
74,Acte III,Duke Ellington,FAILED,wikimedia,https://upload.wikimedia.org/wikipedia/commons/0/0f/Duke_Ellington_at_the_Hurricane_Club_1943.jpg,,,
75,Acte III,Sofiane Pamart,FAILED,wikimedia,https://upload.wikimedia.org/wikipedia/commons/9/90/Sofiane_Pamart_T%C3%A9l%C3%A9matin_%28cropped%29.jpg,,,
76,Acte III,Ibrahim Maalouf,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Deutsches_Jazzfestival_2013_-_HR_BigBand_-_Ibrahim_Maalouf_-_08.JPG/1280px-Deutsches_Jazzfestival_2013_-_HR_BigBand_-_Ibrahim_Maalouf_-_08.JPG,iconographie/acte_03_note_007_ibrahim-maalouf.jpg,1280,853
77,Acte III,Charlie Parker,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Portrait_of_Charlie_Parker_in_1947.jpg/1280px-Portrait_of_Charlie_Parker_in_1947.jpg,iconographie/acte_03_note_008_charlie-parker.jpg,1280,1264
78,Acte III,John Coltrane,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/John_Coltrane_in_1963.jpg/1280px-John_Coltrane_in_1963.jpg,iconographie/acte_03_note_009_john-coltrane.jpg,1280,1024
79,Acte III,Shadow Wilson,FAILED,wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/c4/Shadow_Wilson%2C_between_1938_and_1948_%28William_P._Gottlieb_09381%29.jpg,,,
80,Acte III,Cecil Taylor,FAILED,wikimedia,https://upload.wikimedia.org/wikipedia/commons/f/f1/Cecil_taylor_E5122329-2.jpg,,,
81,Acte III,Johnny Griffin,FAILED,wikimedia,https://upload.wikimedia.org/wikipedia/commons/f/fe/Johnny_Griffin_1.jpg,,,
82,Acte III,Roy Haynes,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/1/1d/Roy_Haynes_drummer_%28cropped%29.jpg,iconographie/acte_03_note_013_roy-haynes.jpg,305,374
83,Acte III,Ahmed Abdul-Malik,FAILED,wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/c3/1956_%E2%80%93_Baghdad_-_Satah_Abbas%2C_Ahmed_Morsi_%28Egyptian_painter%29%2C_Abdul_Malik_Nouri_%28writer%29%2C_Fouad_al-Tikerly_%28Judge-writer%29_and_Farid_Allawerdi.png,,,
84,Acte III,Don Cherry,FAILED,wikimedia,https://upload.wikimedia.org/wikipedia/commons/6/66/Don_Cherry_in_2010.jpg,,,
85,Acte III,Ornette Coleman,FAILED,wikimedia,https://upload.wikimedia.org/wikipedia/commons/1/1e/Ornette_Coleman.jpg,,,
